City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Belomorsk,64.52,34.77,12.02,77,0,3.03,RU,1592095200
Qaanaaq,77.48,-69.36,4.41,69,0,2.09,GL,1592095106
Faanui,-16.48,-151.75,27.13,77,12,4.18,PF,1592095116
El Tocuyo,9.79,-69.79,32.0,46,100,5.1,VE,1592095200
Maningrida,-12.07,134.27,28.54,58,51,5.82,AU,1592095200
Kapaa,22.08,-159.32,29.0,58,40,6.7,US,1592095089
Busselton,-33.65,115.33,12.78,84,32,5.65,AU,1592095084
Ushuaia,-54.8,-68.3,0.0,90,20,2.6,AR,1592095085
Hermanus,-34.42,19.23,12.66,48,0,3.71,ZA,1592095085
Bilibino,68.05,166.44,20.24,44,17,4.09,RU,1592095200
Kindersley,51.47,-109.17,27.0,47,90,3.1,CA,1592095110
Coquimbo,-29.95,-71.34,14.0,67,0,3.6,CL,1592095087
Coruripe,-10.13,-36.18,25.34,86,80,6.03,BR,1592095201
Cap Malheureux,-19.98,57.61,21.11,89,1,1.34,MU,1592095104
Merauke,-8.47,140.33,27.86,79,93,4.67,ID,1592095201
Rikitea,-23.12,-134.97,24.53,83,100,5.26,PF,1592095087
Barrow,71.29,-156.79,6.0,75,75,2.09,US,1592095103
Saint-Philippe,-21.36,55.77,20.0,72,75,2.1,RE,1592095097
Khatanga,71.97,102.5,9.67,48,0,5.11,RU,1592095092
Along,28.17,94.77,23.52,87,96,0.27,IN,1592095202
Shangrao,28.45,117.97,30.42,70,95,0.87,CN,1592095202
Lüderitz,-26.65,15.16,13.0,37,0,2.6,NA,1592095203
Buala,-8.14,159.59,30.1,70,45,3.95,SB,1592095118
Mundo Nuevo (Ojo de Agua),18.7,-95.5,26.81,74,0,6.95,MX,1592095203
Hithadhoo,-0.6,73.08,28.9,70,100,8.03,MV,1592095088
Castro,-24.79,-50.01,15.24,96,100,1.73,BR,1592095083
Souillac,-20.52,57.52,22.0,94,75,1.5,MU,1592095104
Ostrovnoy,68.05,39.51,13.66,61,2,8.27,RU,1592095097
Bethel,41.37,-73.41,16.11,44,1,5.1,US,1592094838
Andenes,69.31,16.12,14.0,58,65,3.6,NO,1592095084
Wausau,44.96,-89.63,17.0,36,1,5.7,US,1592094926
Lebu,-37.62,-73.65,8.51,72,100,2.64,CL,1592095095
Arraial do Cabo,-22.97,-42.03,22.0,94,0,1.5,BR,1592095100
Lensk,60.73,114.93,11.56,82,95,1.13,RU,1592095206
Dalbandin,28.89,64.41,24.49,16,0,1.06,PK,1592095206
Riachão das Neves,-11.75,-44.91,21.39,47,0,1.17,BR,1592095206
Ust-Nera,64.57,143.2,20.37,32,69,0.83,RU,1592095206
Ribeira Grande,38.52,-28.7,16.6,71,21,8.0,PT,1592094804
Townsville,-19.25,146.8,25.56,94,75,4.6,AU,1592095206
Severo-Kuril'sk,50.68,156.12,4.81,92,100,10.13,RU,1592095090
Riyadh,24.69,46.72,28.0,28,0,0.79,SA,1592095102
Jamestown,42.1,-79.24,14.0,44,1,4.1,US,1592094894
Isangel,-19.55,169.27,26.0,78,90,4.1,VU,1592095126
Flinders,-34.58,150.86,18.89,75,1,7.6,AU,1592095116
Bad Bramstedt,53.92,9.88,15.0,95,100,0.89,DE,1592095207
Kandrian,-6.22,149.55,29.9,70,93,4.32,PG,1592095207
Shalyhyne,51.57,34.12,17.66,90,100,7.08,UA,1592095207
Uruçuí,-7.23,-44.56,24.17,61,28,2.48,BR,1592095207
Le Port,-20.94,55.29,20.0,77,40,1.0,RE,1592095207
Saskylakh,71.92,114.08,8.53,52,72,3.13,RU,1592095088
Yarkovo,57.4,67.08,8.34,67,0,5.0,RU,1592095207
Saint-Joseph,-21.37,55.62,20.0,72,75,2.1,RE,1592095207
Clyde River,70.47,-68.59,0.0,95,1,5.1,CA,1592094827
Cidreira,-30.18,-50.21,12.59,61,100,6.56,BR,1592094851
Kamiiso,41.82,140.65,20.0,94,75,2.1,JP,1592095207
Baruun-Urt,46.68,113.28,18.62,43,0,5.62,MN,1592095094
Thompson,55.74,-97.86,20.0,30,75,5.1,CA,1592094877
Vágur,61.47,-6.81,10.6,88,96,3.94,FO,1592095208
Dire Dawa,9.59,41.87,21.88,63,90,6.87,ET,1592095208
Hong Kong,22.29,114.16,28.89,78,59,7.15,HK,1592094986
Dulce Grande,23.0,-102.17,26.0,18,20,5.1,MX,1592095208
Labuhan,-6.88,112.21,26.03,85,100,1.64,ID,1592095208
Teya,60.38,92.63,16.89,86,100,3.26,RU,1592095208
Mount Isa,-20.73,139.5,26.0,21,0,5.7,AU,1592095208
Ayr,55.46,-4.63,13.89,93,40,2.1,GB,1592095208
Rawlins,41.79,-107.24,28.0,17,1,9.3,US,1592095208
Vegreville,53.5,-112.05,22.65,76,53,7.68,CA,1592095209
Iqaluit,63.75,-68.51,4.0,89,90,5.1,CA,1592094868
Tsuruga,35.65,136.06,24.44,97,100,1.79,JP,1592095209
Fort Nelson,58.81,-122.7,13.0,93,90,2.1,CA,1592095117
Fukuechō,32.69,128.84,25.0,94,75,8.2,JP,1592095209
Olinda,-8.01,-34.86,24.0,94,75,1.0,BR,1592095209
Saint Paul Harbor,57.79,-152.41,17.0,48,40,5.1,US,1592095089
Butaritari,3.07,172.79,28.57,67,29,4.27,KI,1592095091
Prince Rupert,54.32,-130.32,12.0,87,90,1.0,CA,1592095209
Murchison,-41.8,172.33,11.98,44,0,0.24,NZ,1592095209
La Ronge,55.1,-105.28,24.0,44,75,5.7,CA,1592095114
Moerai,-22.43,-151.33,22.53,72,93,5.25,PF,1592095210
Bodden Town,19.28,-81.25,28.0,83,20,2.6,KY,1592095210
Fryanovo,56.13,38.45,12.78,81,86,4.0,RU,1592095210
Dikson,73.51,80.55,1.82,86,100,4.62,RU,1592095091
Umm Hājar,13.3,19.7,31.19,40,0,4.07,TD,1592095210
Mollendo,-17.02,-72.01,17.06,83,82,2.83,PE,1592095210
Lovozero,68.0,35.01,16.3,54,40,3.84,RU,1592095210
Pedersore,63.65,22.68,12.78,81,0,1.0,FI,1592095210
Narsaq,60.92,-46.05,6.0,93,100,1.5,GL,1592095109
Upernavik,72.79,-56.15,0.8,90,0,1.37,GL,1592095096
Laguna,38.42,-121.42,25.0,33,1,4.1,US,1592095106
Bandarbeyla,9.49,50.81,27.2,64,100,12.38,SO,1592095210
Mar del Plata,-38.0,-57.56,5.56,65,20,6.2,AR,1592094851
Angoram,-4.06,144.07,31.31,61,63,1.5,PG,1592095211
East London,-33.02,27.91,13.91,36,77,3.43,ZA,1592095084
Maketu,-37.77,176.45,13.33,55,10,1.47,NZ,1592095211
Nikolayevskaya,47.61,41.5,19.55,85,0,2.24,RU,1592095211
Tasiilaq,65.61,-37.64,4.0,86,100,3.6,GL,1592095084
Bredasdorp,-34.53,20.04,12.0,81,0,3.15,ZA,1592095091
Necochea,-38.55,-58.74,3.33,82,0,1.79,AR,1592095096
Tena,-0.98,-77.82,21.8,86,60,1.08,EC,1592095211
Igrim,63.19,64.42,7.36,59,79,4.81,RU,1592095211
Mandalgovi,45.76,106.27,16.78,37,0,2.58,MN,1592095211
Dingle,11.0,122.67,27.98,75,100,2.83,PH,1592095212
Akureyri,65.68,-18.09,10.0,61,40,2.6,IS,1592095200
Putyatino,54.16,41.12,11.45,78,100,5.95,RU,1592095212
Ballina,-28.87,153.57,23.0,78,75,5.7,AU,1592095212
Sept-Îles,50.2,-66.38,12.22,37,20,4.1,CA,1592095212
George Town,5.41,100.34,27.0,94,20,1.0,MY,1592095090
Patacamaya,-17.23,-67.92,5.63,81,2,5.37,BO,1592095212
Nikolskoye,59.7,30.79,11.11,71,0,1.82,RU,1592095091
Provideniya,64.38,-173.3,8.37,81,99,2.91,RU,1592095085
Harper,4.38,-7.72,25.78,86,100,5.58,LR,1592095212
Ilulissat,69.22,-51.1,5.0,65,100,3.6,GL,1592094821
Makkah al Mukarramah,21.43,39.83,31.36,27,46,1.25,SA,1592095039
Bayir,37.27,28.22,15.0,87,0,0.5,TR,1592095213
Mokhsogollokh,61.47,128.92,21.85,44,0,2.01,RU,1592095213
Port Alfred,-33.59,26.89,11.11,88,81,1.79,ZA,1592095088
Vanavara,60.34,102.28,14.69,90,100,1.71,RU,1592095213
Mahébourg,-20.41,57.7,22.0,94,75,1.5,MU,1592095096
Cape Town,-33.93,18.42,10.0,81,40,3.6,ZA,1592094905
Waddān,29.16,16.14,26.07,23,0,8.92,LY,1592095213
Alofi,-19.06,-169.92,25.0,57,100,6.7,NU,1592095087
Meulaboh,4.14,96.13,26.12,85,99,1.47,ID,1592095126
Buchanan,5.88,-10.05,23.0,94,75,2.6,LR,1592094833
Sistranda,63.73,8.83,12.0,93,1,2.1,NO,1592095101
Kaitangata,-46.28,169.85,5.0,69,0,2.68,NZ,1592095097
Beyneu,45.32,55.2,27.69,16,0,1.27,KZ,1592095214
Rawson,-43.3,-65.1,6.37,61,89,4.34,AR,1592095099
Solwezi,-12.17,26.39,9.25,75,0,1.91,ZM,1592095214
Atambua,-9.11,124.89,27.37,54,0,1.96,ID,1592095214
Dunedin,-45.87,170.5,10.56,51,0,0.45,NZ,1592095214
Fare,-16.7,-151.02,27.53,73,36,3.64,PF,1592095214
Chui,-33.7,-53.46,6.09,64,0,4.29,UY,1592095090
Quatre Cocos,-20.21,57.76,22.0,94,75,1.5,MU,1592095116
Carutapera,-1.2,-46.02,23.91,93,31,1.52,BR,1592095115
Manjacaze,-24.71,33.88,14.07,84,25,1.12,MZ,1592095214
Vao,-22.67,167.48,22.54,79,51,11.14,NC,1592095086
Zavetnoye,47.12,43.89,21.59,40,63,3.12,RU,1592095092
Cabo San Lucas,22.89,-109.91,34.0,18,75,6.2,MX,1592095096
Ponta do Sol,32.67,-17.1,19.0,72,40,2.1,PT,1592095103
Nybro,56.74,15.91,14.44,87,0,2.1,SE,1592095215
Los Llanos de Aridane,28.66,-17.92,21.0,73,75,2.6,ES,1592095127
Opuwo,-18.06,13.84,11.6,42,0,3.98,NA,1592095215
Husavik,66.04,-17.34,10.0,61,40,2.6,IS,1592095098
Okha,53.57,142.95,4.51,95,100,5.66,RU,1592095100
Sayyan,15.17,44.32,16.64,48,94,0.63,YE,1592095215
Coyhaique,-45.58,-72.07,3.0,93,90,1.5,CL,1592095094
Nishifukuma,33.77,130.47,28.33,78,75,3.6,JP,1592095215
Luena,-11.78,19.92,10.04,66,0,2.16,AO,1592095113
Abnūb,27.27,31.15,26.64,36,0,8.41,EG,1592095215
Lewistown,40.6,-77.57,18.0,36,5,3.6,US,1592095215
Vila,42.03,-8.16,9.44,87,100,1.26,PT,1592095215
Kefamenanu,-9.45,124.48,25.28,69,10,2.32,ID,1592095215
Pangody,65.85,74.49,8.25,55,100,11.24,RU,1592095216
San Patricio,19.22,-104.7,28.0,78,40,7.2,MX,1592095086
Canutama,-6.53,-64.38,24.32,85,100,0.68,BR,1592095216
Jambi City,-1.6,103.62,25.4,80,90,1.51,ID,1592095089
Belmonte,-15.86,-38.88,25.0,78,20,3.1,BR,1592095119
Laela,-8.57,32.05,10.0,88,0,2.14,TZ,1592095216
Talnakh,69.49,88.4,13.0,43,100,8.0,RU,1592095127
Olafsvik,64.89,-23.71,6.97,85,100,7.34,IS,1592094829
Curup,-3.47,102.53,22.92,79,7,1.54,ID,1592095216
Buraidah,26.33,43.98,28.0,21,0,3.6,SA,1592095122
Longyearbyen,78.22,15.64,3.0,88,75,1.5,SJ,1592095109
Noumea,-22.28,166.46,26.0,57,90,2.1,NC,1592094965
Camiri,-20.05,-63.52,12.23,85,100,2.2,BO,1592095216
Port Pirie,-33.18,138.02,12.0,81,0,6.2,AU,1592095217
Turukhansk,65.82,87.98,12.58,80,41,7.71,RU,1592095217
Votkinsk,57.05,53.99,4.44,89,0,1.54,RU,1592095217
Lambaréné,-0.7,10.24,22.08,92,100,1.85,GA,1592095217
Liancheng,24.05,105.08,22.61,89,100,1.74,CN,1592095217
Rāmhormoz,31.28,49.6,25.84,17,0,1.72,IR,1592095217
Valparai,10.37,76.97,25.0,94,90,1.96,IN,1592095217
Vikhorevka,56.12,101.16,17.0,82,20,2.0,RU,1592095217
Bariloche,-41.15,-71.31,2.0,80,75,1.0,AR,1592095202
Bengkulu,-3.8,102.27,25.56,77,0,1.46,ID,1592095099
Padang,-0.95,100.35,28.07,66,20,1.55,ID,1592095171
Kortkeros,61.81,51.58,8.0,87,37,2.0,RU,1592095099
San Cristobal,7.77,-72.22,29.0,51,40,8.7,VE,1592095092
São Félix do Xingu,-6.64,-51.99,22.55,86,0,1.19,BR,1592095218
Chokurdakh,70.63,147.92,19.19,36,28,2.11,RU,1592095095
Yegorlykskaya,46.57,40.66,18.46,91,4,2.16,RU,1592095218
Codrington,-38.27,141.97,11.57,82,100,8.16,AU,1592095115
Faya,18.39,42.45,22.0,48,2,1.98,SA,1592095092
Cairns,-16.92,145.77,25.56,94,75,3.1,AU,1592094891
Palana,59.12,159.97,13.85,51,0,2.71,RU,1592095218
Nanortalik,60.14,-45.24,5.18,92,100,4.38,GL,1592095124
Sabang,5.89,95.32,28.38,77,97,3.84,ID,1592095219
Ialibu,-6.28,143.99,19.0,82,75,2.1,PG,1592095219
Anadyr,64.75,177.48,16.0,51,23,9.0,RU,1592095219
Goderich,43.75,-81.72,12.22,72,100,5.59,CA,1592095086
Iquique,-20.22,-70.14,17.0,72,90,3.1,CL,1592095219
Cheremshan,54.67,51.5,7.13,82,26,3.54,RU,1592095219
Christchurch,-43.53,172.63,10.56,70,32,3.6,NZ,1592095170
Bushehr,28.97,50.84,30.0,58,0,8.7,IR,1592095219
Hanzhong,33.07,107.03,25.6,49,92,0.45,CN,1592095219
Itamaracá,-7.75,-34.83,24.0,94,75,1.0,BR,1592095220
Muscat,23.61,58.59,32.0,94,52,2.6,OM,1592095060
Chimoré,-16.98,-65.13,20.59,97,93,0.55,BO,1592095220
Norman Wells,65.28,-126.83,23.0,25,75,8.7,CA,1592094821
Matara,5.95,80.54,26.74,84,1,4.92,LK,1592095220
Pangkalanbuun,-2.68,111.62,27.4,90,27,1.85,ID,1592095117
Okato,-39.2,173.88,13.33,50,100,1.79,NZ,1592095220
Adrar,20.5,-10.07,35.23,18,0,6.43,MR,1592095220
Lompoc,34.64,-120.46,18.0,55,0,10.3,US,1592095100
Pevek,69.7,170.31,6.19,85,95,2.84,RU,1592094810
Ayan,56.45,138.17,7.87,77,87,2.5,RU,1592095220
Barela,23.1,80.05,27.2,71,100,1.43,IN,1592095221
New Norfolk,-42.78,147.06,12.22,69,99,2.24,AU,1592095097
Evensk,61.95,159.23,15.53,51,100,2.71,RU,1592095125
Zhaotong,27.32,103.72,16.93,90,100,2.2,CN,1592095221
Fereydūnkenār,36.69,52.52,22.0,88,0,1.0,IR,1592095221
Martapura,-3.42,114.85,26.0,94,20,1.0,ID,1592095221
Port Moresby,-9.44,147.18,29.0,83,75,5.1,PG,1592095221
Abalak,58.13,68.59,8.94,69,76,5.8,RU,1592095221
Tilichiki,60.47,166.1,11.31,52,25,2.89,RU,1592095125
Nipawin,53.37,-104.0,29.0,28,1,8.7,CA,1592095221
Nioro,13.35,-15.75,27.38,65,58,3.47,GM,1592095221
Chara,56.91,118.26,13.55,48,0,0.95,RU,1592095222
Kars,40.6,43.09,12.0,46,0,1.5,TR,1592095222
Maniitsoq,65.42,-52.9,4.55,91,100,5.06,GL,1592095107
Melbu,68.5,14.83,13.33,67,100,1.81,NO,1592095222
Belyy Yar,53.6,91.39,18.0,77,0,2.0,RU,1592095222
Nagapattinam,10.77,79.83,28.37,65,90,5.31,IN,1592095222
Port Lincoln,-34.73,135.87,15.72,75,100,8.9,AU,1592095105
Dhidhdhoo,6.88,73.1,29.26,78,9,7.4,MV,1592095222
Neuquén,-38.95,-68.06,7.0,65,100,3.76,AR,1592094812
Kenai,60.55,-151.26,18.0,51,1,4.6,US,1592095097
Healdsburg,38.61,-122.87,20.56,42,90,6.2,US,1592095222
Lethem,3.38,-59.8,25.38,84,100,3.31,GY,1592095222
São João da Barra,-21.64,-41.05,22.88,86,0,4.01,BR,1592095100
Lerwick,60.15,-1.15,14.0,93,30,3.6,GB,1592095094
Gainesville,29.65,-82.32,27.78,78,1,2.6,US,1592095223
Kruisfontein,-34.0,24.73,10.82,59,99,2.1,ZA,1592095090
Laas,46.62,10.7,10.0,87,40,1.0,IT,1592094818
Collie,-33.37,116.15,12.78,84,13,2.63,AU,1592095223
Eucaliptus,-17.58,-67.52,7.05,68,0,6.54,BO,1592095223
Te Anau,-45.42,167.72,10.08,64,0,1.72,NZ,1592095122
Marabba,12.35,32.18,30.53,44,53,6.23,SD,1592095223
Shingū,33.73,135.98,24.0,94,75,4.1,JP,1592095100
Chapais,49.78,-74.85,11.0,43,1,3.1,CA,1592095106
Gouyave,12.16,-61.73,28.0,74,40,7.2,GD,1592095223
Egvekinot,66.32,-179.17,8.03,68,81,3.05,RU,1592095114
Esperance,-33.87,121.9,12.0,87,28,6.7,AU,1592095088
Kavaratti,10.57,72.64,29.79,74,100,10.75,IN,1592095101
Geraldton,-28.77,114.6,11.0,87,46,4.1,AU,1592095086
La Rioja,42.25,-2.5,13.0,87,88,0.5,ES,1592095224
Bagotville,-28.98,153.42,23.0,78,75,5.7,AU,1592095224
Thinadhoo,0.53,72.93,29.26,69,77,7.82,MV,1592095224
Sibolga,1.74,98.78,27.6,74,52,0.49,ID,1592095224
Bathsheba,13.22,-59.52,28.0,65,40,7.7,BB,1592095084
Yatou,37.15,122.38,25.4,68,100,4.92,CN,1592095224
Locri,38.24,16.26,22.22,47,0,8.49,IT,1592095224
Wanning,18.8,110.4,25.14,93,100,2.66,CN,1592095116
Ambon City,-3.7,128.18,26.0,94,40,3.1,ID,1592095224
Sola,-13.88,167.55,29.0,74,90,5.1,VU,1592095097
Aklavik,68.22,-135.01,24.0,25,75,3.1,CA,1592095119
Maumere,-8.62,122.21,28.14,70,8,2.14,ID,1592095225
Maragogi,-9.01,-35.22,25.73,87,100,6.55,BR,1592095225
Bonfim,3.08,-59.95,26.07,80,100,1.87,BR,1592095225
Kauhajoki,62.43,22.18,11.67,87,0,1.5,FI,1592095225
Georgiyevka,43.04,74.71,19.0,42,0,4.0,KZ,1592095225
Yangi Marg`ilon,40.43,71.72,21.0,37,0,4.1,UZ,1592095099
Vila Velha,-20.33,-40.29,24.0,83,0,2.1,BR,1592095088
Roald,62.58,6.13,15.56,82,100,2.1,NO,1592095105
Mapiri,-15.25,-68.17,19.31,90,99,0.2,BO,1592095225
San Jose,37.34,-121.89,22.78,37,20,7.2,US,1592095214
Rincon,32.3,-81.24,27.0,61,40,4.6,US,1592094930
Kokoda,-8.88,147.74,30.4,49,0,2.3,PG,1592095225
Sungai Penuh,-2.08,101.38,21.29,77,91,1.03,ID,1592095225
Mount Gambier,-37.83,140.77,10.0,93,75,6.2,AU,1592095093
Rome,43.21,-75.46,13.0,54,90,1.0,US,1592095082
Inhambane,-23.86,35.38,16.64,76,39,3.48,MZ,1592095226
Port Keats,-14.25,129.55,30.38,30,0,5.09,AU,1592095226
Beringovskiy,63.05,179.32,8.35,68,0,3.96,RU,1592095111
Port Blair,11.67,92.75,28.65,81,100,5.91,IN,1592095112
Leningradskiy,69.38,178.42,14.76,52,73,1.11,RU,1592095099
Mogadishu,2.04,45.34,25.91,78,31,8.35,SO,1592095226
Araguaína,-7.19,-48.21,23.92,64,0,1.23,BR,1592095226
Scarborough,54.28,-0.4,13.33,95,1,1.1,GB,1592095226
Zavitinsk,50.12,129.45,14.26,85,100,5.23,RU,1592095226
Menongue,-14.66,17.69,8.52,62,0,1.73,AO,1592095103
Guerrero Negro,27.98,-114.06,20.44,66,0,10.29,MX,1592095112
Iwanai,42.97,140.51,26.18,52,100,0.24,JP,1592095145
Dapaong,10.86,0.2,27.39,60,34,2.48,TG,1592095227
Kimbe,-5.55,150.14,32.36,56,73,1.45,PG,1592095227
Arman',59.7,150.17,15.31,56,0,3.36,RU,1592095227
Port Hedland,-20.32,118.57,23.0,53,3,4.6,AU,1592095109
Baykit,61.67,96.37,13.93,89,100,1.77,RU,1592095095
Paciran,-6.88,112.38,24.75,90,100,2.18,ID,1592095227
Matagami,49.75,-77.63,13.0,43,1,2.1,CA,1592095100
Ust'-Ishim,57.69,71.17,8.55,74,54,4.98,RU,1592095227
San Miguel de Cozumel,20.51,-86.95,26.67,94,75,3.0,MX,1592094977
Abu Samrah,35.3,37.18,18.42,43,0,1.57,SY,1592095227
Rapid Valley,44.06,-103.15,29.44,32,1,9.3,US,1592095227
Bose,45.46,8.01,15.0,90,100,1.51,IT,1592095228
Constitución,-35.33,-72.42,9.29,58,0,2.86,CL,1592095104
Madaoua,14.07,5.96,32.88,34,18,2.99,NE,1592095228
Snåase,64.25,12.38,15.56,55,5,1.48,NO,1592095228
Kununurra,-15.77,128.73,26.0,22,0,2.1,AU,1592095108
Casablanca,33.59,-7.62,20.56,77,0,2.6,MA,1592095228
Arrondissement d'Ajaccio,42.0,8.92,15.0,87,25,2.6,FR,1592095107
Sri Aman,1.24,111.46,24.0,94,75,2.6,MY,1592095228
Kushmurun,52.45,64.63,11.01,56,14,6.17,KZ,1592095228
Eirunepé,-6.66,-69.87,23.97,89,18,0.76,BR,1592095228
São Filipe,14.9,-24.5,24.45,81,80,4.18,CV,1592095088
Lazurne,46.08,32.53,19.06,85,4,4.28,UA,1592095228
Oodweyne,9.41,45.06,22.01,64,100,5.97,SO,1592095228
Meitingen,48.55,10.85,16.67,87,100,5.7,DE,1592095228
Katobu,-4.94,122.53,27.64,79,19,2.57,ID,1592095109
Atbasar,51.8,68.33,10.66,52,0,7.03,KZ,1592095229
Portland,45.52,-122.68,16.11,72,75,2.6,US,1592095081
Salalah,17.02,54.09,29.0,89,40,1.5,OM,1592095229
Indian Head,38.6,-77.16,24.0,49,1,1.52,US,1592095229
Avera,33.19,-82.53,28.0,48,40,3.1,US,1592095085
Beipiao,41.79,120.78,25.09,26,0,8.34,CN,1592095229
Lata,40.16,-8.33,16.11,88,78,0.42,PT,1592095108
Moncton,46.12,-64.8,16.11,67,75,6.7,CA,1592095178
Poso,-1.4,120.75,29.63,59,6,0.45,ID,1592095229
Raymond,43.9,-70.47,14.44,59,99,2.26,US,1592095229
Mehamn,71.04,27.85,11.7,57,100,2.44,NO,1592095229
Rach Gia,10.02,105.08,27.0,94,40,2.1,VN,1592095229
Grafton,42.21,-71.69,17.22,44,75,5.1,US,1592095158
Tucuruí,-3.77,-49.67,24.72,78,78,2.01,BR,1592095230
Nakusp,50.25,-117.8,11.67,93,100,0.89,CA,1592095230
Hirara,24.8,125.28,30.0,79,40,7.2,JP,1592095145
Anūpgarh,29.19,73.21,35.2,26,0,2.87,IN,1592095230
Bilma,18.69,12.92,31.8,18,0,0.96,NE,1592095121
Aksu,41.12,80.26,22.04,35,0,1.34,CN,1592095120
Mkushi,-13.62,29.39,13.18,83,100,4.28,ZM,1592095230
Comodoro Rivadavia,-45.87,-67.5,5.0,59,100,2.6,AR,1592095081
Grand Gaube,-20.01,57.66,21.11,89,3,1.34,MU,1592095099
Raudeberg,61.99,5.14,16.11,75,62,2.85,NO,1592095230
Kyra,49.58,111.98,18.7,45,98,3.69,RU,1592095230
Grande Prairie,55.17,-118.8,16.0,55,90,4.1,CA,1592095230
Marsabit,2.33,37.99,16.54,92,86,8.38,KE,1592095117
Canatlán,24.52,-104.78,26.67,24,79,4.02,MX,1592095231
Nome,64.5,-165.41,20.0,48,20,6.2,US,1592095087
Lamar,33.67,-95.58,32.0,40,1,3.1,US,1592095231
Ajdabiya,30.76,20.23,21.3,39,0,2.86,LY,1592095097
Huarmey,-10.07,-78.15,17.13,86,7,3.36,PE,1592095231
Paamiut,61.99,-49.67,3.57,95,100,9.54,GL,1592094821
Khani,41.96,42.96,20.0,88,75,1.5,GE,1592095231
Tiarei,-17.53,-149.33,30.0,70,20,4.1,PF,1592095231
Amapá,1.0,-52.0,22.74,98,100,1.03,BR,1592095231
Shepsi,44.04,39.15,19.42,80,6,2.08,RU,1592095231
Sobolevo,54.43,31.9,10.47,95,100,6.21,RU,1592095231
Port Hawkesbury,45.62,-61.35,14.0,93,90,2.24,CA,1592095231
Vestmannaeyjar,63.44,-20.27,7.92,80,21,4.52,IS,1592095105
Zhenlai,45.85,123.3,22.37,42,0,9.74,CN,1592095232
Aitape,-3.14,142.35,30.6,62,3,1.22,PG,1592095232
Kyren,51.68,102.14,21.29,38,0,0.46,RU,1592095232
Sidi Ali,36.1,0.42,17.2,69,67,1.3,DZ,1592095232
Jalgaon,21.02,75.57,27.47,79,98,3.36,IN,1592095232
Noshiro,40.2,140.02,22.0,78,75,1.0,JP,1592095145
Porto Santo,33.07,-16.34,19.0,88,40,2.1,PT,1592095126
Scottsbluff,41.87,-103.67,32.0,29,1,8.2,US,1592095090
Grindavik,63.84,-22.43,8.0,81,90,3.6,IS,1592095120
Marrakesh,31.63,-8.01,20.0,68,75,3.1,MA,1592095117
Vardø,70.37,31.11,8.49,70,100,3.56,NO,1592095123
Vaţa de Jos,46.18,22.6,16.22,91,9,0.21,RO,1592095233
Moyale,3.52,39.06,18.41,90,100,3.76,KE,1592095233
Son La,21.32,103.9,24.87,86,100,0.43,VN,1592095233
Pisco,-13.7,-76.22,18.0,82,90,3.6,PE,1592095118
